id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
156704,2-Bedroom Villa with sea view by Kea Village,747958,Christos,,Κέας (Kea),37.63919,24.34156,Hotel room,115,2,1,2018-07-01,0.07,5,162
156759,Honeymoon Suite with sea view by Kea Village,747958,Christos,,Κέας (Kea),37.63911,24.34272,Hotel room,80,1,2,2019-03-25,0.12,5,172
160719,Irene's House - Olympos Karpathos,769803,Irene,,Καρπάθου (Karpathos),35.7387,27.17425,Entire home/apt,55,1,29,2019-08-27,0.46,1,365
163166,Cute Mykonian Apartment,779204,Mariani,,Μυκόνου (Μykonos),37.44215,25.33437,Entire home/apt,270,3,38,2019-08-26,0.43,6,279
163748,"""Cocoon"" cave superb sea views from terrace!",665681,Sensyo Home,,Θήρας (Santorini),36.42557,25.42864,Entire home/apt,98,3,258,2019-09-12,2.88,4,171
163832,"""Gravitate"" caldera luxury view!",665681,Sensyo Home,,Θήρας (Santorini),36.42604,25.42784,Entire home/apt,130,3,200,2019-09-11,2.31,4,182
172289,Simplicity apartments,822138,Sophia,,Κω (Kos),36.87087,27.15011,Entire home/apt,35,3,3,2019-09-17,0.91,2,212
181648,Kea Villa Thea with pool,145718,Polina,,Κέας (Kea),37.66398,24.33594,Entire home/apt,249,3,21,2017-08-29,0.24,5,0
182497,studio for 2 people with kichen,874956,Vaggos,,Ιητών (Ios),36.7242,25.2786,Private room,35,1,81,2019-09-15,0.83,13,220
185911,AEGEAN SEA VIEW BSV,892966,Dimitris,,Κω (Kos),36.8731,27.31699,Entire home/apt,60,3,0,,,2,120
190336,180° AegeanBlue Elevated Majestic View & Charm,919361,Nikolaos,,Μυκόνου (Μykonos),37.41594,25.3327,Entire home/apt,2000,3,6,2019-07-28,0.15,3,193
192669,"Kastro Apartment, Naxos",933489,Lucretia,,Νάξου & Μικρών Κυκλάδων (Naxos & Small Cyclades),37.10538,25.37826,Entire home/apt,50,5,19,2019-08-14,0.30,1,354
192932,Anna-Maria Seaview Maisonette I,663967,Nikolas,,Μυκόνου (Μykonos),37.43072,25.41808,Entire home/apt,65,3,38,2019-09-17,0.49,8,15
195871,"Family House, Paros Golden Beach",952765,George,,Πάρου (Paros),37.01453,25.22472,Entire home/apt,120,6,21,2019-08-27,0.34,1,364
198716,"Cyclades, Andros, 180o Sea View",970205,Alex,,Άνδρου (Andros),37.82647,24.81256,Entire home/apt,85,5,9,2019-08-25,0.18,1,364
203178,Vacation cave in former winery!,643255,Veronika And Kostas,,Θήρας (Santorini),36.41226,25.44806,Entire home/apt,70,2,128,2019-08-29,1.32,3,352
212764,Andros House Meravigliosa,695499,Christina,,Άνδρου (Andros),37.90149,24.75948,Entire home/apt,90,3,7,2019-08-05,0.07,11,17
216115,Windmill's Guest House ,1112637,Kedros Estates,,Μυκόνου (Μykonos),37.44829,25.33496,Entire home/apt,120,2,49,2019-09-06,0.55,3,359
216785,SEA VIEW APARTMENTS by SUSI&SOFIA,1119137,Thanasis,,Πάτμου (Patmos),37.3195,26.54056,Entire home/apt,65,3,4,2018-10-07,0.08,3,192
