id,listing_url,name
786249,https://www.airbnb.com/rooms/786249,Oia Home I : A home for 2-5 in Oia!
789354,https://www.airbnb.com/rooms/789354,"Winery Villa,"
791888,https://www.airbnb.com/rooms/791888,Sunny apartment of 60m2 & balcony 
792272,https://www.airbnb.com/rooms/792272,"Villa Fegari, Nest studio"
821452,https://www.airbnb.com/rooms/821452,3-4 persons apts @ Anny's Perissa
843291,https://www.airbnb.com/rooms/843291,Anemi Cave House
855223,https://www.airbnb.com/rooms/855223,Ersi villas - Studio 2 pax
877960,https://www.airbnb.com/rooms/877960,"Astraea House,sleeps 8"
887720,https://www.airbnb.com/rooms/887720,Cave house Oia Caldera Amazing view
887770,https://www.airbnb.com/rooms/887770,Studio 2 persons Oia Amazing view!!
890429,https://www.airbnb.com/rooms/890429,Luxury Villa with Breathtaking View
893525,https://www.airbnb.com/rooms/893525,"""La Maison"" Entire Private Villa | House | Pool"
914168,https://www.airbnb.com/rooms/914168,"Bliss Estate,santorini,exclusive..."
915465,https://www.airbnb.com/rooms/915465,House for 2 included car and breakf
915491,https://www.airbnb.com/rooms/915491,House for 6 included car and breakf
915812,https://www.airbnb.com/rooms/915812,House for 2 included car and breakf
917791,https://www.airbnb.com/rooms/917791,Santorini Hara's Houses - Studio 3
930439,https://www.airbnb.com/rooms/930439,Stunning Windmill located on a hill
933512,https://www.airbnb.com/rooms/933512,"Beautiful sunny house for 9, pvr pool,sea view"
935569,https://www.airbnb.com/rooms/935569,Calderimi Traditional House
935871,https://www.airbnb.com/rooms/935871,Loukia Cave House
939277,https://www.airbnb.com/rooms/939277,"SantoriniParadise: PARADISE cave, private hot tub!"
944953,https://www.airbnb.com/rooms/944953,"SantoriniParadise: PINK cave, Caldera view jacuzzi"
955460,https://www.airbnb.com/rooms/955460,"SantoriniParadise: SUNSET APARTMENT, terrace view!"
957070,https://www.airbnb.com/rooms/957070,Armeni Seaside Villa - with private boat service!
965539,https://www.airbnb.com/rooms/965539,Santorini Hara's Houses - Studio 4
965576,https://www.airbnb.com/rooms/965576,Santorini Hara's Houses - Studio 5
970170,https://www.airbnb.com/rooms/970170,Terracotta Cave House (1)
972466,https://www.airbnb.com/rooms/972466,"Villa Fegari, Thea apartment"
974291,https://www.airbnb.com/rooms/974291,Terracotta Cave House (2)
981069,https://www.airbnb.com/rooms/981069,Mandilaria | Budget  Studio | Village View [20 m²]
981085,https://www.airbnb.com/rooms/981085,Mandilaria Superior Studio|Partial Sea View[20 m²]
981106,https://www.airbnb.com/rooms/981106,Mandilaria Maisonette | Partial Sea View [30 m²]
983396,https://www.airbnb.com/rooms/983396,Luxury Architect Designed House Car Included
983906,https://www.airbnb.com/rooms/983906,Romantic Villa With Sea View Car Included
983951,https://www.airbnb.com/rooms/983951,Beautiful Villa Ideal for Families Car Included
984073,https://www.airbnb.com/rooms/984073,Comfortable Apartment Open Plan
1000547,https://www.airbnb.com/rooms/1000547,Captain's Budget Studio for 2-Oia
1010956,https://www.airbnb.com/rooms/1010956,ILIVATOS your private escape
1014082,https://www.airbnb.com/rooms/1014082,OFFER!Superior Suite with sea view
