,beds,guests,bedrooms,baths,bath,bedroom,bed,half-bath
https://www.airbnb.com/rooms/12600218,2,2,0,0,1,1,0,0
https://www.airbnb.com/rooms/12600464,4,8,4,2,0,0,0,0
https://www.airbnb.com/rooms/12600952,2,3,0,0,1,1,0,0
https://www.airbnb.com/rooms/12601671,3,6,3,2,0,0,0,0
https://www.airbnb.com/rooms/12601867,2,5,2,2,0,0,0,0
https://www.airbnb.com/rooms/12615996,4,6,3,3,0,0,0,0
https://www.airbnb.com/rooms/1265000,0,2,0,0,1,1,1,0
https://www.airbnb.com/rooms/12662726,3,5,2,0,1,0,0,0
https://www.airbnb.com/rooms/12668530,3,5,2,2,0,0,0,0
https://www.airbnb.com/rooms/12688126,2,2,0,0,1,1,0,0
https://www.airbnb.com/rooms/12690339,4,5,2,0,1,0,0,0
https://www.airbnb.com/rooms/12695224,0,3,0,0,1,1,1,0
https://www.airbnb.com/rooms/12707220,2,4,2,2,0,0,0,0
https://www.airbnb.com/rooms/12723146,2,4,0,0,1,1,0,0
https://www.airbnb.com/rooms/12725633,2,3,0,0,1,1,0,0
https://www.airbnb.com/rooms/12728856,3,4,0,0,1,1,0,0
https://www.airbnb.com/rooms/12734525,2,2,0,0,0,1,0,0
https://www.airbnb.com/rooms/12735743,3,4,2,0,1,0,0,0
https://www.airbnb.com/rooms/1273947,0,2,0,2,0,1,1,0
https://www.airbnb.com/rooms/12744775,4,6,2,0,1,0,0,0
https://www.airbnb.com/rooms/12746241,2,2,0,0,0,1,0,0
https://www.airbnb.com/rooms/12747009,4,6,2,1.5,0,0,0,0
https://www.airbnb.com/rooms/1275043,2,3,0,0,1,1,0,0
https://www.airbnb.com/rooms/12757829,2,2,0,0,1,1,0,0
https://www.airbnb.com/rooms/1277504,2,3,2,0,1,0,0,0
https://www.airbnb.com/rooms/12786453,3,8,3,2,0,0,0,0
https://www.airbnb.com/rooms/12786807,0,3,0,0,1,1,1,0
https://www.airbnb.com/rooms/12787084,0,3,0,0,1,1,1,0
https://www.airbnb.com/rooms/12787235,0,2,0,0,1,1,1,0
https://www.airbnb.com/rooms/12787658,0,2,0,0,1,1,1,0
https://www.airbnb.com/rooms/12787672,2,3,0,0,1,1,0,0
https://www.airbnb.com/rooms/12787770,8,16+,6,6,0,0,0,0
https://www.airbnb.com/rooms/12790006,2,3,0,0,1,1,0,0
https://www.airbnb.com/rooms/12792717,2,2,0,0,1,1,0,0
https://www.airbnb.com/rooms/12819308,2,4,2,0,1,0,0,0
https://www.airbnb.com/rooms/12822280,7,6,3,1.5,0,0,0,0
https://www.airbnb.com/rooms/12824265,2,6,2,2,0,0,0,0
https://www.airbnb.com/rooms/12825639,3,4,0,0,1,1,0,0
https://www.airbnb.com/rooms/12827703,0,2,0,0,1,1,1,0
https://www.airbnb.com/rooms/12828183,0,2,0,0,1,1,1,0
https://www.airbnb.com/rooms/12841373,0,2,0,0,0,1,1,0
https://www.airbnb.com/rooms/12843996,3,4,0,0,1,1,0,0
https://www.airbnb.com/rooms/12845718,3,7,2,2,0,0,0,0
https://www.airbnb.com/rooms/1285062,5,9,4,4,0,0,0,0
https://www.airbnb.com/rooms/12860306,0,3,0,0,0,1,0,0
https://www.airbnb.com/rooms/12866702,3,4,0,0,1,1,0,0
https://www.airbnb.com/rooms/12871125,0,2,0,0,1,0,1,0
https://www.airbnb.com/rooms/12876983,3,6,3,2,0,0,0,0
https://www.airbnb.com/rooms/12877462,6,10,3,3,0,0,0,0
https://www.airbnb.com/rooms/12877489,2,6,2,2,0,0,0,0
https://www.airbnb.com/rooms/12878137,3,7,2,0,1,0,0,0
https://www.airbnb.com/rooms/12879744,2,5,2,0,1,0,0,0
https://www.airbnb.com/rooms/12887502,2,6,2,0,1,0,0,0
https://www.airbnb.com/rooms/128893,2,6,2,2,0,0,0,0
https://www.airbnb.com/rooms/12894582,0,2,0,0,1,0,1,0
https://www.airbnb.com/rooms/12896405,2,4,0,0,1,1,0,0
https://www.airbnb.com/rooms/12898448,5,7,3,2,0,0,0,0
https://www.airbnb.com/rooms/12925488,3,4,2,0,1,0,0,0
https://www.airbnb.com/rooms/12928673,0,2,0,0,1,1,1,0
https://www.airbnb.com/rooms/12967859,3,4,0,1.5,0,1,0,0
https://www.airbnb.com/rooms/1298287,2,3,2,0,1,0,0,0
https://www.airbnb.com/rooms/1298613,3,3,0,0,1,1,0,0
https://www.airbnb.com/rooms/12997847,2,3,0,0,1,1,0,0
https://www.airbnb.com/rooms/12997986,0,2,0,1.5,0,1,1,0
https://www.airbnb.com/rooms/12998456,2,4,2,2,0,0,0,0
https://www.airbnb.com/rooms/12999939,2,4,2,2,0,0,0,0
https://www.airbnb.com/rooms/13002171,4,7,3,1.5,0,0,0,0
